# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Sun Aug 02 21:57:47 2026
# Search parameters: Dec min = -30; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,Teff (TOI),log(g) (TOI),Stellar Radius (TOI),Orbital Period (TOI),Orbital Period (TOI) Unc.,Transit Depth (TOI),Transit Depth (TOI) Unc.,Planet Radius (TOI),Planet Radius (TOI) Unc.,Equilibrium Temp (TOI),J mag,J mag Unc.,H mag,H mag Unc.,K mag,K mag Unc.,Imaging pixel scale,Imaging Contrast magnitude,Imaging Contrast separation,Stellar Companion Separation,Stellar Companion Delta mag,Stellar Companion Observation date
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.281,1.7033,2018-09-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.28,1.6358,2018-09-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.276,1.7204,2018-09-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.2894,1.8,2018-09-25
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.292,1.8,2018-09-25
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.2863,1.8,2019-05-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.275,2.01,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.277,1.94,2021-06-27
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.296,2.24,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.285,1.96,2019-06-19
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.851,0.5,1.3,1.77,2016-01-01
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.065,0.5,1.281,1.7033,2018-09-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.065,0.5,1.28,1.6358,2018-09-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.065,0.5,1.276,1.7204,2018-09-18
290131778,123.01,21:18:47.9,-26:36:58.95,CP,3,5,5,5,4,5,3,6188,4.27166,2.62,3.3088922,0.0000071,4736,2265.47,24.9862,3.98163,3184,7.232,0.026,7.048,0.021,6.959,0.024,0.009942,6.065,0.5,1.2894,1.8,2018-09-25
