Date,sunset_UTC,sunset_az,sunset_el,sunset_ra,sunset_dec,sunset_sidereal,sunrise_UTC,sunrise_az,sunrise_el,sunrise_ra,sunrise_dec,sunrise_sidereal
2027-01-01,2027-Jan-01 04:04,246.591825,-3.026348,281.41034,-23.0239,0.4078540372,2027-Jan-01 16:47,113.398297,-2.927204,282.00023,-22.98026,13.1593378293
2027-01-02,2027-Jan-02 04:05,246.71302,-3.111337,282.51456,-22.93979,0.4902764132,2027-Jan-02 16:47,113.278093,-2.997797,283.103,-22.89216,13.2250482875
2027-01-03,2027-Jan-03 04:05,246.761958,-2.978936,283.61669,-22.8481,0.5559872069,2027-Jan-03 16:47,113.151204,-3.064687,284.20437,-22.79644,13.2907594384
2027-01-04,2027-Jan-04 04:06,246.898422,-3.061225,284.71812,-22.74875,0.6384109455,2027-Jan-04 16:47,113.01771,-3.127783,285.3042,-22.69317,13.356471155
2027-01-05,2027-Jan-05 04:06,246.962498,-2.9261,285.81718,-22.64193,0.7041228602,2027-Jan-05 16:48,112.957468,-2.970419,286.40313,-22.58231,13.4388955287
2027-01-06,2027-Jan-06 04:07,247.114225,-3.006263,286.91527,-22.52754,0.7865473146,2027-Jan-06 16:48,112.810958,-3.025424,287.49947,-22.46406,13.5046077017
2027-01-07,2027-Jan-07 04:08,247.273526,-3.085704,288.01149,-22.40572,0.8689717399,2027-Jan-07 16:48,112.658116,-3.076363,288.59388,-22.33843,13.5703197031
2027-01-08,2027-Jan-08 04:08,247.360352,-2.947551,289.10494,-22.27661,0.9346835715,2027-Jan-08 16:48,112.499033,-3.123152,289.68621,-22.20546,13.6360312861
2027-01-09,2027-Jan-09 04:09,247.534843,-3.025733,290.19701,-22.14011,1.0171071866,2027-Jan-09 16:49,112.413706,-2.948264,290.77711,-22.06513,13.7184545636
2027-01-10,2027-Jan-10 04:10,247.716856,-3.103638,291.28682,-21.99636,1.0995301381,2027-Jan-10 16:49,112.242405,-2.98625,291.86492,-21.9177,13.7841648405
2027-01-11,2027-Jan-11 04:10,247.826247,-2.96366,292.3735,-21.84556,1.16524008,2027-Jan-11 16:49,112.065166,-3.01985,292.9503,-21.76316,13.849874426
2027-01-12,2027-Jan-12 04:11,248.023299,-3.041143,293.45846,-21.68756,1.2476616719,2027-Jan-12 16:49,111.882091,-3.048999,294.03315,-21.60156,13.9155834414
2027-01-13,2027-Jan-13 04:12,248.227781,-3.118771,294.54082,-21.52254,1.3300827889,2027-Jan-13 16:49,111.693285,-3.073633,295.11336,-21.43301,13.981292116
2027-01-14,2027-Jan-14 04:12,248.359431,-2.978112,295.61976,-21.35071,1.3957914093,2027-Jan-14 16:49,111.498851,-3.093696,296.19085,-21.25757,14.0470007703
2027-01-15,2027-Jan-15 04:13,248.578716,-3.056101,296.69668,-21.17192,1.4782124822,2027-Jan-15 16:49,111.298896,-3.109136,297.26553,-21.07534,14.1127097821
2027-01-16,2027-Jan-16 04:14,248.805294,-3.13462,297.77075,-20.98636,1.5606340981,2027-Jan-16 16:49,111.093526,-3.119908,298.33733,-20.88641,14.1784195314
2027-01-17,2027-Jan-17 04:14,248.958773,-2.994327,298.84117,-20.79426,1.626344312,2027-Jan-17 16:49,110.882851,-3.125975,299.40619,-20.69085,14.2441303173
2027-01-18,2027-Jan-18 04:15,249.199827,-3.073907,299.90934,-20.59546,1.7087679457,2027-Jan-18 16:49,110.666976,-3.127307,300.47203,-20.48878,14.3098422502
2027-01-19,2027-Jan-19 04:15,249.367471,-2.934292,300.97373,-20.39031,1.7744803813,2027-Jan-19 16:49,110.446011,-3.12388,301.53481,-20.28028,14.3755551476
2027-01-20,2027-Jan-20 04:16,249.622731,-3.01533,302.03577,-20.17864,1.8569058791,2027-Jan-20 16:49,110.220059,-3.115679,302.59446,-20.06546,14.4412685045
2027-01-21,2027-Jan-21 04:17,249.884955,-3.097413,303.09467,-19.96067,1.939331508,2027-Jan-21 16:49,109.989223,-3.102696,303.65096,-19.84439,14.5069816035
2027-01-22,2027-Jan-22 04:17,250.073431,-2.959562,304.14965,-19.73666,2.0050442283,2027-Jan-22 16:49,109.753599,-3.084929,304.70425,-19.61719,14.572693757
2027-01-23,2027-Jan-23 04:18,250.349418,-3.04359,305.20213,-19.50639,2.0874680649,2027-Jan-23 16:49,109.513281,-3.062376,305.75432,-19.38393,14.6384045717
2027-01-24,2027-Jan-24 04:19,250.632147,-3.128882,306.25138,-19.27009,2.169890524,2027-Jan-24 16:49,109.268363,-3.035043,306.80114,-19.14471,14.7041140842
2027-01-25,2027-Jan-25 04:19,250.840775,-2.99339,307.29665,-19.02805,2.2355995402,2027-Jan-25 16:49,109.018938,-3.002935,307.8447,-18.89961,14.7698226987
2027-01-26,2027-Jan-26 04:20,251.136809,-3.081012,308.33939,-18.78,2.3180202217,2027-Jan-26 16:49,108.765105,-2.966057,308.88501,-18.64874,14.8355309828
2027-01-27,2027-Jan-27 04:20,251.358402,-2.947288,309.37813,-18.52639,2.3837285409,2027-Jan-27 16:49,108.506967,-2.924419,309.92205,-18.3922,14.9012394569
2027-01-28,2027-Jan-28 04:21,251.667404,-3.037488,310.41433,-18.26697,2.4661495412,2027-Jan-28 16:48,108.163856,-3.101471,310.95509,-18.13026,14.9502361751
2027-01-29,2027-Jan-29 04:22,251.98273,-3.129278,311.44723,-18.00202,2.5485711851,2027-Jan-29 16:48,107.897318,-3.05068,311.98557,-17.86267,15.0159458954
2027-01-30,2027-Jan-30 04:22,252.223215,-2.998811,312.47612,-17.73185,2.6142812541,2027-Jan-30 16:48,107.626802,-2.995158,313.01274,-17.58974,15.0816563226
2027-01-31,2027-Jan-31 04:23,252.550949,-3.093572,313.50242,-17.45617,2.6967042852,2027-Jan-31 16:48,107.352424,-2.934917,314.03659,-17.31156,15.1473673392
2027-02-01,2027-Feb-01 04:23,252.803473,-2.96549,314.52468,-17.17551,2.7624155183,2027-Feb-01 16:47,106.993288,-3.094883,315.05641,-17.02845,15.1963664448
